,symbol,initialMargin,maintMargin,unrealizedProfit,positionInitialMargin,openOrderInitialMargin,leverage,isolated,entryPrice,breakEvenPrice,maxNotional,positionSide,positionAmt,notional,isolatedWallet,updateTime,bidNotional,askNotional
0,SNTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
1,SUSHIUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
2,INJUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,50000,BOTH,0.0,0,0,0,0,0
3,STRAXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,0,BOTH,0,0,0,0,0,0
4,BNTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
5,SAGAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
6,RDNTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
7,ZRXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
8,HIGHUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
9,XAIUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
10,WAVESUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,50000,BOTH,0.0,0,0,0,0,0
11,SPELLUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
12,XTZUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,150000,BOTH,0.0,0,0,0,0,0
13,BNBUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,250000,BOTH,0.00,0,0,0,0,0
14,DARUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
15,JOEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
16,ETCUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,400000,BOTH,0.00,0,0,0,0,0
17,PENDLEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
18,XMRUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,150000,BOTH,0.000,0,0,0,0,0
19,GLMRUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,0,BOTH,0,0,0,0,0,0
20,ALICEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
21,HOOKUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.0,0,0,0,0,0
22,BNBUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,250000,BOTH,0.00,0,0,0,0,0
23,ACEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
24,REEFUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
25,BATUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.0,0,0,0,0,0
26,1000BONKUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
27,DOGEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,900000,BOTH,0,0,0,0,0,0
28,TRXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,90000,BOTH,0,0,0,0,0,0
29,STORJUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
30,SNXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,50000,BOTH,0.0,0,0,0,0,0
31,XLMUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,150000,BOTH,0,0,0,0,0,0
32,DOGEUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,1100000,BOTH,0,0,0,0,0,0
33,IOTXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
34,ARKUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,0,BOTH,0,0,0,0,0,0
35,OMNIUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.00,0,0,0,0,0
36,UMAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
37,DASHUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.000,0,0,0,0,0
38,KAVAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
39,OXTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
40,RUNEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
41,APEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
42,BNXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.0,0,0,0,0,0
43,BLUEBIRDUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
44,LTCUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,750000,BOTH,0.000,0,0,0,0,0
45,OPUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,600000,BOTH,0.0,0,0,0,0,0
46,KEYUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
47,DGBUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
48,SKLUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
49,FOOTBALLUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.00,0,0,0,0,0
50,GLMUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
51,ALTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
52,MTLUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
53,TOMOUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,50000,BOTH,0,0,0,0,0,0
54,LTCUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,250000,BOTH,0.000,0,0,0,0,0
55,ETHBTC,0,0,0.00000000,0,0,20,False,0.0,0.0,400,BOTH,0.00,0,0,0,0,0
56,KSMUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
57,TRBUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
58,FLOWUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
59,MANAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,150000,BOTH,0,0,0,0,0,0
60,CHRUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
61,WUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
62,ONDOUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
63,AEVOUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
64,GALUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
65,USDCUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,900000,BOTH,0,0,0,0,0,0
66,RNDRUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.0,0,0,0,0,0
67,OGNUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
68,ENAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
69,STMXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
70,SRMUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
71,BLURUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
72,KNCUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
73,ENJUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,100000,BOTH,0,0,0,0,0,0
74,XRPUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,750000,BOTH,0.0,0,0,0,0,0
75,ATOMUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,600000,BOTH,0.00,0,0,0,0,0
76,NMRUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.0,0,0,0,0,0
77,ENSUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
78,GASUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
79,AGIXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
80,ATAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
81,IOSTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
82,HBARUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,50000,BOTH,0,0,0,0,0,0
83,ZECUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,150000,BOTH,0.000,0,0,0,0,0
84,POLYXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
85,IDEXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
86,ETHUSDT_240927,0,0,0.00000000,0,0,20,False,0.0,0.0,375000,BOTH,0.000,0,0,0,0,0
87,EDUUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
88,GALAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,900000,BOTH,0,0,0,0,0,0
89,GTCUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
90,ALGOUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
91,MANTAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
92,BSVUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
93,LRCUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
94,PYTHUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
95,ORBSUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,10000,BOTH,0,0,0,0,0,0
96,STGUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
97,STXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,50000,BOTH,0,0,0,0,0,0
98,ARPAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
99,CELOUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
100,QNTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
101,AIUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
102,1INCHUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
103,TUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
104,PIXELUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
105,SOLUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,2000000,BOTH,0.00,0,0,0,0,0
106,TAOUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.000,0,0,0,0,0
107,LINAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
108,ARUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.0,0,0,0,0,0
109,STRKUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
110,FILUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,600000,BOTH,0.0,0,0,0,0,0
111,ZETAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
112,DODOXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
113,SOLUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,900000,BOTH,0,0,0,0,0,0
114,AXLUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
115,LOOMUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,0,BOTH,0,0,0,0,0,0
116,RONINUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
117,1000SATSUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
118,COMBOUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.0,0,0,0,0,0
119,FILUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,600000,BOTH,0.0,0,0,0,0,0
120,MDTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
121,GMTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,150000,BOTH,0,0,0,0,0,0
122,XVSUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.0,0,0,0,0,0
123,GMXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.00,0,0,0,0,0
124,BANDUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.0,0,0,0,0,0
125,LDOUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,400000,BOTH,0,0,0,0,0,0
126,XRPUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,500000,BOTH,0.0,0,0,0,0,0
127,PORTALUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
128,BELUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
129,CRVUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
130,BONDUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,10000,BOTH,0.0,0,0,0,0,0
131,DOTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,250000,BOTH,0.0,0,0,0,0,0
132,ONEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
133,MAVIAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
134,APTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,900000,BOTH,0.0,0,0,0,0,0
135,FRONTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,0,BOTH,0,0,0,0,0,0
136,SEIUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
137,ANKRUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
138,MAVUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
139,MEMEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
140,API3USDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
141,ASTRUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
142,HOTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
143,QTUMUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
144,IOTAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
145,ETHUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,50000000,BOTH,0.000,0,0,0,0,0
146,LSKUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
147,JTOUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
148,ADAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,250000,BOTH,0,0,0,0,0,0
149,LITUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
